vehicle,heat_load_kw,cabin_volume_m3,pulley_ratio,solar_w_m2,ac_unit_capacity_kw,condenser_capacity_kw,compressor_size_cc,airflow_m3_hr,soaking_time_hr,rpm_0_30,rpm_31_50,rpm_51_70,rpm_71_90,ebhs,T_0min,T_5min,T_10min,T_15min,T_20min,T_25min,T_30min,T_35min,T_40min,T_45min,T_50min,T_55min,T_60min,T_65min,T_70min,T_75min,T_80min,T_85min,T_90min
V1,4.8,3.1,1.5,1200,4.4,9.0,130,564.0,1,1760,1610,2230,800,70,63.1,37.0,33.3,31.9,30.9,30.7,30.4,29.7,29.1,28.8,28.6,28.8,29.5,30.1,30.4,32.0,32.7,33.1,33.2
V2,4.6,2.6,1.5,1200,4.4,9.0,130,542.0,1,1650,1700,1900,850,70,62.1,38.7,34.9,33.3,32.0,31.5,31.2,30.4,29.9,29.8,29.4,29.9,31.3,31.6,31.0,32.8,33.1,33.4,33.5
V3,4.6,2.6,1.5,1200,4.4,9.0,130,532.7,1,1770,1850,1400,820,95,63.3,36.2,32.7,31.2,31.1,30.9,29.8,30.5,30.5,30.5,30.0,29.2,29.6,29.9,29.6,31.5,31.9,31.9,31.8
V4,5.2,3.2,1.4,1200,4.4,9.0,150,501.7,1,1300,1450,1450,720,75,62.1,37.8,34.5,31.4,30.3,29.6,28.6,27.7,26.6,26.2,26.0,27.0,27.7,27.0,26.3,28.4,28.5,29.2,29.4
V5,5.0,2.7,1.5,1200,4.4,9.0,130,460.0,1,2150,1950,1850,800,75,59.7,36.2,31.1,28.9,27.5,26.2,25.8,25.4,25.5,25.0,24.9,24.1,24.2,24.3,24.3,26.7,27.5,28.0,28.0
V6,5.1,2.3,1.5,1200,4.4,9.0,130,449.0,1,1840,1850,1416,820,87,61.5,34.7,31.4,29.0,28.2,27.5,26.7,26.3,25.5,25.6,25.2,25.3,25.5,25.6,25.7,26.4,27.1,27.8,28.5
V7,3.6,2.7,1.5,1300,4.5,9.26,110,503.0,1,1450,1600,1620,850,100,61.5,34.0,31.2,30.4,29.2,29.2,29.1,29.0,28.8,28.2,28.8,28.2,28.5,29.2,29.5,31.5,31.7,31.7,31.8
V8,4.6,2.8,1.4,1200,4.0,9.4,150,604.4,1,1900,2000,2000,720,89,61.8,37.1,33.8,32.2,31.2,30.5,30.0,29.4,29.1,29.4,28.9,29.2,28.9,29.0,29.0,31.5,32.7,32.9,33.5
V9,5.3,4.3,1.4,1200,4.4,9.0,150,626.0,1,1300,1400,1900,650,180,59.3,35.0,31.0,29.0,27.9,26.9,26.7,26.4,26.7,26.8,26.6,24.8,24.6,24.4,24.3,27.4,27.7,28.2,28.3
V10,5.3,4.3,1.4,1200,4.4,9.0,150,641.5,1,1500,1700,1750,720,190,58.9,35.4,32.1,30.6,29.6,29.1,28.9,29.6,29.6,29.7,29.6,27.9,27.5,27.4,27.2,30.6,31.1,31.3,31.3
V11,5.5,4.3,1.4,1200,4.4,9.4,150,573.4,1,1300,1500,1900,650,103,59.4,35.2,31.6,29.6,28.8,28.1,28.0,27.6,27.3,27.3,27.2,27.3,27.2,27.3,27.0,27.8,27.8,27.8,27.9
V12,5.5,4.3,1.4,1200,5.4,11.0,150,522.0,1,1600,1800,1820,720,118,60.1,34.1,30.4,28.2,26.8,25.8,25.3,25.1,24.6,24.7,24.3,23.8,24.0,24.4,24.2,26.9,27.5,27.7,28.1
V13,5.5,4.3,1.4,1200,5.4,11.0,150,526.8,1,1650,1800,2000,720,100,59.0,37.5,34.1,32.6,31.9,31.1,30.4,30.0,29.7,29.3,28.9,29.0,29.1,29.2,29.3,30.1,30.8,31.6,32.3
V14,5.5,4.3,1.8,1200,5.0,11.0,150,605.7,1,1850,1950,1949,820,100,59.4,34.1,30.9,29.2,28.3,27.3,26.4,26.3,26.2,26.0,25.9,25.9,25.9,25.9,25.9,26.6,27.4,28.1,28.8
